Sr_No,Review_Title,Review_Text,Review_Rating,Buyer_Type,Review_Date,Upvote,Downvote,Read,Sum_of_Up_Down,No_of_Pics,Gender,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,h
26,Iphone the beast,"Iphone is the beast. Flipkart rocks as it delivered in time as promised.
 Very good performance
 Highly fast
 Super camera
 Too good battery
 Excellent display",5,Certified Buyer,2017-05-01 00:00:00,25,3,,28,0,M,25,3,0,,0,,0,0.89
27,Great experience great phone and priority shipping,"Great experience buying iPhone 7 from Flipkart. Fast shipping. Package arrived early as in 2 days despite Shipment was to rural area.
 
 Iphone 7 is awesome. Someone looking to upgrade to new phone just go for it. Bought silver Color it looks simple, elegant, classic, premium, alive.",5,Certified Buyer,2016-11-01 00:00:00,58,12,,70,0,M,47,6,0,,0,,0,0.83
28,Awesome but don’t buy Matt black,"Pros:
 Sleek and handy, no more chunks of heavy metal
 
 Premium and stylish, Matt black looks royal.
 
 Camera is stunning, you can't believe, it nurtured a hidden photographer in me to such an extent that I bought a dslr now, most of my pics are clicked on it. Camera is comparable to point and shoot standalones.
 
 Battery life is more than sufficient.
 
 iOS is more secure and reliable.
 
 Sound is louder and crisper then 6 th generation
 
 Aluminium 7000 series is more sturdy
 
 Cons:
 
 No 3.5 mm, but there is an adapter to bridge that
 
 I my personal opinion screen should be 5 inch, reducing bezels.
 
 Price.. but I got it in deal, cheapest ever, thanks to flipkart
 
 Enjoying my iPhone . Go for it else for i8 if budget doesn't matter for u ;)
 
 
 21.11.2017-colour review
 
 I have rose gold 6s and mattblack iPhone 7, I noticed that Matt black is more prone to scratches and fading of color. Rose gold still rocks after an year.
 
 my suggestion is to buy a matellic color rather Matt.
 
 
 Please click helpful, if u like.",5,Certified Buyer,2017-09-01 00:00:00,56,13,READ MORE,69,0,M,183,11,0,,0,,0,0.81
29,Worth every penny,"Awesome Smartphone for iPhone lover..
 I got it during The Big Billion Day Sale..
 Camera Quality Awesome
 Performance is Superb
 Good Display
 Beautiful Looking
 Battery performs is minus point as per trend it is not as much sufficient but not too bad..
 Really love it 
 Thank you Flipkart..",5,Certified Buyer,4 months ago,38,7,,45,1,M,48,3,0,1.0,0,,0,0.84
30,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience!
 
 Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents were present inside the box! This was another great experience thanks to Flipkart and even though I was a little apprehensive about buying a phone online, this experience has made me feel a lot more confident about doing so! Would highly recommend!",5,Certified Buyer,2017-03-01 00:00:00,1328,487,READ MORE,1815,0,X,130,8,0,,0,,0,0.73
31,It was best decision to buy it from Flipkart !,"Flipkart delivery amazing !
 Apple genuine profuct .",4,Certified Buyer,2017-12-01 00:00:00,64,15,,79,0,M,8,2,0,,0,,0,0.81
32,Perfect product!,"It's the best device I've ever had !!
 Love to say that it's a device you would like to have...",5,Certified Buyer,9 months ago,10,0,,10,1,M,20,2,0,,0,,0,1.0
33,Wonderful,Best phone,4,Certified Buyer,5 months ago,59,14,,73,1,M,2,1,0,,0,,0,0.81
34,Worth every penny,iphone working very nice..and flipkart delivered with in two days,5,Certified Buyer,2017-01-01 00:00:00,64,16,,80,0,M,10,1,0,,0,,0,0.8
35,Just wow!,"Nice iPhone, i like iphone sync with mac book ....",5,Certified Buyer,2018-11-01 00:00:00,43,9,,52,0,M,10,1,0,,0,,0,0.83
36,iPhone@nice phone,Nice product perfect phone,5,Certified Buyer,2017-12-01 00:00:00,76,20,,96,0,M,4,1,0,,0,,0,0.79
37,Pretty good,"excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .
 Blindly go for it value for money .",4,Certified Buyer,2018-11-01 00:00:00,125,38,,163,2,M,31,2,0,,0,,0,0.77
38,Great product,Nice product,5,Certified Buyer,2016-11-01 00:00:00,60,15,,75,0,M,2,1,0,,0,,0,0.8
39,Awesome phone.. Worst delivery Service by Flip,Awesome phone.. m in love wid iphone.. really happy.. finally I got this after so long wait because the worst delivery service by flipkart.. worst experience ever,4,Certified Buyer,2016-10-01 00:00:00,25,4,,29,0,M,27,1,0,,0,,0,0.86
40,Great product,the phone is really fentastic.after 1st day of use its processor is very fast and the camera have very good clarity .. 35000/- is valuable,5,Certified Buyer,2018-11-01 00:00:00,53,13,,66,2,M,25,1,0,,0,,0,0.8
41,Flipkart jindabaad,Excellent no issuse ......thanxu flipkart,5,Certified Buyer,2017-04-01 00:00:00,193,65,,258,0,M,5,1,0,,0,,0,0.75
42,Simply awesome,Superb,5,Certified Buyer,4 months ago,21,3,,24,0,M,1,1,0,,0,,0,0.88
43,Brilliant,awesome phone i love it,5,Certified Buyer,10 months ago,14,1,,15,1,X,5,1,0,,0,,0,0.93
44,Perfect product!,Phone is awesome,5,Certified Buyer,2018-12-01 00:00:00,13,1,,14,2,M,3,1,0,,0,,0,0.93
45,iphone 7 gold,its good product :),5,Certified Buyer,2017-03-01 00:00:00,180,62,,242,0,M,4,1,0,,0,,0,0.74
46,Highly recommended,100% genuine product.. fully satisfied with flipkart's service.. go for it guys..,5,Certified Buyer,2017-03-01 00:00:00,168,58,,226,0,M,12,1,0,,0,,0,0.74
47,Brilliant,Excellent product from apple,5,Certified Buyer,9 months ago,27,5,,32,3,M,4,1,0,,0,,0,0.84
48,Best in the market!,Very good product thanks Flipkart,5,Certified Buyer,5 months ago,26,5,,31,5,X,5,1,0,,0,,0,0.84
49,Defect Product selling on the Mask of Low cost Offers,"I brought Product with No Speaker Functionality at all.When i ask For a Replacement Flipkart Rejected as it is not a physical Damage.
 
 Is Speakers are Not Major Part of a Phone and Didn't not consider it as a Damage?
 I wont buy anything in Flipkart From Now.
 
 Thanks For Everything.",1,Certified Buyer,2017-12-01 00:00:00,52,14,,66,0,F,51,4,1,,0,,0,0.79
50,Moderate,phone is awesome ..but in case if there is any problem with the device or u need to return or replace it then Flipkart is not ready to deal with it instead they r suggesting you to go to the service center and do such things...so i would suggest u to buy it from any other online website like Amazon where u can easily return..tx..hope it helps,2,Certified Buyer,2017-10-01 00:00:00,13,1,,14,0,M,67,1,0,,0,,0,0.93
51,Terrific purchase,"I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications.
 
 About the phone:
 Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome. Phone is handy and less weighted. Being an Android user I am finding it little bit difficult to use apple but I am learning it slowly.
 Overall I just have to say that... ""An Iphone is an Iphone"" :)",5,Certified Buyer,2016-12-01 00:00:00,763,340,READ MORE,1103,0,M,129,10,0,,0,,0,0.69
52,Pretty good,"good I phone 7 rose gold and best camera,best display, best quality,very good product",4,Certified Buyer,2018-11-01 00:00:00,39,11,,50,2,F,14,1,0,,0,,0,0.78
53,Wonderful,"First of all, a big thank you to Flipkart and Apple India for making this great product available online on such an amazing deal. I bought it during the Big Billion Days sale. The product is absolutely genuine. The Flipkart delivery system is even better. I got the phone at my house THREE days before it was promised. So far so good with the product. Thanks again Flipkart. 😊
 
 
 Writing this after a whole YEAR of using the product, and still there is absolutely no issues with the phone. If you are looking for reassurance about the authenticity of the product before buying, then it's about genuine as they come and I really doubt if you'll get a better deal offline than the one you get during the sale which happens in Flipkart. 😊",5,Certified Buyer,2018-10-01 00:00:00,91,31,READ MORE,122,3,F,134,10,0,,0,,2,0.75
54,Simply awesome,Good Camera front and back.,5,Certified Buyer,4 months ago,42,12,,54,1,M,5,1,0,,0,,0,0.78
55,Device issue,I am facing issues with the device and I'm unable to initiate the return or replace,1,Certified Buyer,2017-05-01 00:00:00,29,7,,36,0,M,16,1,0,,0,,0,0.81
56,Good quality product,"The iPhone 7 is a very good choice for those people who want to use iPhone in budget.
 iPhone 7 is a very good product from apple.
 It have 4.7 inch display which is bigger than expected. The 3D Touch is very different from android and better than android.
 It have a quite bigger bezel both in top and bottom but the display is perfect.
 After all having very slim body, the speakers are loud and battery is 1960 mah which last a day through heavy usage.
 Talking about the performance, iPhone 7 is on top of the line.
 The A10 fusion chip is better than androids 8 chips. Talking about the Camera, Rear camera is 12MP which gives amazing picture But the Front Camera which is of 7MP gives Average photos and detail is quite moderate but cannot be consider bad.
 It’s good in Good light and bad in low light. So make sure to take a selfie in a bright day
 The IOS version 10 have nice user interface and the updates are timely updated.
 If you like Gaming like Pubg, Fortnite, Call of Duty then this phone is not for you because of 1960mah battery .
 I hope you like my review",4,Certified Buyer,2 months ago,12,1,READ MORE,13,0,M,205,13,0,,0,,0,0.92
57,Worth every penny,I phone 7 is very good,5,Certified Buyer,3 months ago,11,1,,12,1,M,6,1,0,,0,,0,0.92
58,Super!,Simply outstanding & no compare,5,Certified Buyer,2018-01-01 00:00:00,12,1,,13,0,M,5,1,0,,0,,0,0.92
60,Fabulous!,good work,5,Certified Buyer,4 months ago,17,3,,20,1,M,2,1,0,,0,,0,0.85
61,Fabulous!,just woow,5,Certified Buyer,2019-02-01 00:00:00,36,10,,46,3,M,2,1,0,,0,,0,0.78
62,Must go for it,Amazing product Red beauti,5,Certified Buyer,2017-07-01 00:00:00,60,21,,81,0,X,4,1,0,,0,,0,0.74
63,Pretty good,Good,4,Certified Buyer,2016-10-01 00:00:00,288,138,,426,0,X,1,1,0,,0,,0,0.68
64,Worst Service experience till date.,"I have ordered an I phone 7 and I got it on 25th of september. It works for 3 days and now it stop working unexpectedley. Its not even turning on now. Apple support is asking me to return it but there is no return option available on site. I want to replace it or want my refund.
 
 
 Apple is asking for refund from Flipkart and Flipkart is not giving any return option (Not even a single day replacement)
 
 Will never buy anything from Flipkart and suggest you guys the same.",1,Certified Buyer,2017-10-01 00:00:00,102,43,,145,0,M,91,6,0,,0,,0,0.7
65,Nice,Good image quality but battery is not proper work,3,Certified Buyer,2 months ago,11,1,,12,4,M,9,1,0,,0,,0,0.92
66,Wonderful,Wonderful product,5,Certified Buyer,2017-09-01 00:00:00,11,1,,12,0,F,2,1,0,,0,,0,0.92
67,Not recommended at all,Fraud flipkhart product quality worst,1,Certified Buyer,2017-09-01 00:00:00,20,6,,26,0,X,5,1,0,,0,,0,0.77
68,Classy product,"it is a legendary phone ..
 no comparison between any other phones
 got it in only 24999 rs in big billion day..
 filling happy ..",5,Certified Buyer,4 months ago,13,2,,15,4,M,25,1,0,,0,,0,0.87
69,Plz don't buy,Worst product ever..flipkart is selling only refurbished apple products..Plz don't buy apple products in flipkart,1,Certified Buyer,2017-09-01 00:00:00,46,16,,62,0,M,15,1,0,,0,,0,0.74
70,Makes a Compelling Upgrade from the iPhone 6,"Writing the review upgrading from an iPhone 6.
 
 The increased speed and camera are great! 3D Touch feels a little incomplete but is convenient nonetheless. While the design is the same as the 6, the black really makes it stand out. Stunning finish on the matte black.
 
 Will update the review upon further usage.",5,Certified Buyer,2016-10-01 00:00:00,1935,1116,,3051,0,F,54,6,0,,0,,0,0.63
71,Perfect product!,"IMPORTANT NOTICE
 If you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei number
 Secondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify them
 
 REST the phone is superb especially when you shift first time from Android or Windows
 Fingerprint and Display attracted me the most",5,Certified Buyer,2018-10-01 00:00:00,100,44,,144,4,M,73,1,0,,0,,0,0.69
72,Flipkart Rocks!!!!!!!!!!!!!!!,"Buying the most awaited phone of the year and that too from flipkart was amazing.
 Really thankful to flipkart for understanding the customer's egarness.
 Flipkart Delivered the product on 7/10/16 at 7.10 pm when apple conducted all india launch.
 This kind of commitment from flipkart towards its customers is highly appreciable.
 Flipkart is another word for Geniune products.
 
 Iphone 7 in first looks is a awesome phone with gr8 camera. Altogether a new home button which is more faster than previous phones.
 build quality is very premium with black colour adding further to it.
 sound quality is also very good. Battery backup is very satisfactory.
 Highly reccomended.
 KEEP IT UP FLIPKART.",5,Certified Buyer,2016-10-01 00:00:00,1132,647,READ MORE,1779,0,M,111,12,0,,0,,0,0.64
73,Faulty phone,Not even a month has passed since i started using it and its display has gone dead.. Could not expect that flipkart is offering such low quality phones..,1,Certified Buyer,2017-06-01 00:00:00,60,24,,84,0,M,28,1,0,,0,,0,0.71
77,Classy product,delivery as expected on time. product is also 100% geniun. it's my fourth phone from flipkart.,5,Certified Buyer,2018-12-01 00:00:00,35,12,,47,1,M,16,3,0,,0,,0,0.74
78,Amazing Little phone,"I got my phone delivered from supercomnet in 4 days from Bangalore and just loving my phone. I had a 6s and upgraded to 7 and notice considerable upgrades.

1. It has a taptic engine based soft home button so the feedback response is quick and I am happy to get off the 3.5 mm audio jack to fit in this engine.

2. Its much faster and night photography is much cleared and crisper, thanks to the 1.8f rear camera which is an upgrade from the 2.2f camera in 6s.

3. The audio driver is much better and as such the audio quality is much clearer from 6s.

4. It has dual speakers at top and bottom and the sound output is much louder and better than 6s.

5. Already a big fan of the jet black color i got.

6. The 3D touch screen is much more responsive than 6s.

Battery back up has improved over 6s by an hr and a half approx.

Over all i love this new monster and specs might undermine the power of this product but the iOS 10 is designed to give optimum and faster performance with the specs built in. So to me a 2gb ram on iPhone 7 turned out faster than the 4 gb Ram in some chinese android phones like lenovo because of optimisation.

Similarly the 12 mp 1.8f camera is much responsive than the so called 20mp moon light camera in some phones.

I would recommend not to go only for the hardware but for the over all responsiveness of the phone.

Happy to be an iPhone customer for last 7 yrs.",5,Certified Buyer,2017-02-01 00:00:00,116,55,READ MORE,171,0,M,274,20,0,,0,,0,0.68
79,Iphone 7,Friends nothing different between iphone 6s and iphone 7 . I purchased I phone 7 today but I found the former was better . Not worth. No use of buying same camera quality.,5,Certified Buyer,2017-01-01 00:00:00,165,84,,249,0,X,33,4,0,,0,,0,0.66
80,Did not meet expectations,Battery backup is too low and i call flipkart after purchase and they denied to return product,1,Certified Buyer,2018-03-01 00:00:00,12,2,,14,0,X,17,1,0,,0,,0,0.86
81,Nice phone,"Nice phone but mostly having similar features if compared to iphone 6s, at this pricing it's not worth buying.
 
 Wireless earbuds not provided with this phone.
 
 Liked the 3D touch, working speed & camera update.",4,Certified Buyer,2017-01-01 00:00:00,76,34,,110,0,M,35,3,0,,0,,0,0.69
82,Awesome,"A WOW EFFECT.....A first time iphone üser feel d change bet android and ios.....
 Ts xceptionally brilliant....and flipkart gave a good deal and delivery much b4 d xpected date....juz d thing lingering around is how to get d beast insured.....",5,Certified Buyer,2017-05-01 00:00:00,308,174,,482,0,M,40,1,0,,0,,0,0.64
83,Great product,It's another solid performer from the apple stable. The unpacking was made special by flipkart for the preordered ones. I don't want to elaborate as to not ruin the surprise for others. The phone performs effortlessly. Have not had any issues so far. Migrating from an earlier iPhone is quick and simple. Battery life is better than the earlier phones and the new home button beautifully engineered providing an enhanced user experience. I would definitely recommend this phone,5,Certified Buyer,2016-10-01 00:00:00,86,41,,127,0,X,78,8,0,,0,,0,0.68
84,NYC experience,good delivery speed by Flipkart and my new iPhone is awesome.,5,Certified Buyer,2016-10-01 00:00:00,37,14,,51,0,M,11,1,0,,0,,0,0.73
85,Utterly Disappointed,"my iphone disply not worked within 5 days and flipkaft didnt support me and show me the way of apple store, while there are 10 days replacement warrenty...",1,Certified Buyer,2018-02-01 00:00:00,25,8,,33,0,F,28,1,0,,0,,0,0.76
86,Faulty Product Delivered,Ringer button was not working in the product. Unhappy,2,Certified Buyer,2017-03-01 00:00:00,71,34,,105,0,M,9,2,0,,0,,0,0.68
87,Iphone 7 Amazing experience,I have been using iphone since few days . very much contended from the experience and services provided by flipkart on product delivery. Thanks for giving the seamless experience.,5,Certified Buyer,2016-11-01 00:00:00,32,12,,44,0,X,29,3,0,,0,,0,0.73
88,Hated it!,when I Have Received Courier from flipkart and open it. iphone start completely but rear camera and flash light not working. so i call call center and they say go to service center and repairs it so i am going to 80km iphone service center and my new iphone sent to Banglore onwards replace back camara so dont buy iphone on flipkart,1,Certified Buyer,2018-12-01 00:00:00,21,5,,26,0,M,62,3,0,,0,,0,0.81
89,Classy product,It's awesome just go for it,5,Certified Buyer,10 months ago,27,9,,36,1,M,6,1,0,,0,,0,0.75
90,Terrific purchase,gd,5,Certified Buyer,4 months ago,12,2,,14,2,X,1,1,0,,0,,0,0.86
91,Good choice,Just awesome,4,Certified Buyer,2016-11-01 00:00:00,11,2,,13,0,X,2,1,0,,0,,0,0.85
92,Super!,Its been 2 months using iphone 7.. the phone is superb.. its really feel gr8 to have an iphone 7. Camera quality is awsome. Fast processor. The delivery was very good with perfect packing.,5,Certified Buyer,2017-02-01 00:00:00,44,19,,63,0,M,34,4,0,,0,,0,0.7
93,Pretty good,nice phone i got it for juat 33000 during sale only downside is the screen resolution its 720p not that sharp for this price point you do accept more,4,Certified Buyer,2018-10-01 00:00:00,34,13,,47,3,M,29,1,0,,0,,0,0.72
94,Good!!,Dont worry go for it 100% original,5,Certified Buyer,2017-05-01 00:00:00,34,14,,48,0,M,7,1,0,,0,,0,0.71
95,Great product,very nice phone. I'm very old Apple user that apple quality nothing comes any other brands. its too good really happy thanks filipkart,5,Certified Buyer,3 months ago,24,8,,32,5,M,23,3,0,,0,,0,0.75
96,Excellent,My first buy from the Apple gadgets. its feels niace in hand. Overall nice experience with apple.,5,Certified Buyer,2018-10-01 00:00:00,23,8,,31,3,F,17,3,0,,0,,0,0.74
97,"It is awesome! However, Airtel is not enabling 4G","It is awesome! However, Airtel is not enabling 4G",5,Certified Buyer,2016-12-01 00:00:00,32,13,,45,0,M,9,2,0,,0,,0,0.71
101,The volume control button not working.,The volume control button is not working.,1,Certified Buyer,2016-10-01 00:00:00,120,70,,190,0,M,7,1,0,,0,,0,0.63
102,Apple countinues to outperform with its new masterpiece,"I'm using iPhone from 3GS generation. I have upgraded my iPhones every year since then. People might say its costly, but to be honest it justifies each & every single penny spent on it. It's a craftsmen masterpiece. Though it does not gives alot of features which other flagship phones do in this segment in the market, but honestly think do we really use those features in real time usage. iPhone makes your regular task so easy & simple which is their primary focus (Make user experience as simple & useful as possible). Its so fluid & fast compared to any flagship phones available in the market. Their software & hardware works seamlessly that it make the users experience alot easier & faster. Its single core scores outperforms the latest flagship of Google, samsung & one plus.

If you thinking for an upgrade from 5s/6 or 6S then its worth doing mainly for the below reasons -

1) Camera lovers would love the new 12 mp camera with ƒ/1.8 aperture on the iPhone which supports low light photography & optical image stabilization (included now in iPhone 7 too). The front facing camera is now 7 mp HD camera . It has a Quad-LED true tone flash.The pictures are so realistic & clear. The best in the market right now.
2) iPhone is now finally IP67 certified - dust and water resistant
3) Memory - Now available in 32/128/256 GB for the same price as previously for 6s 16/64/128GB respectively.
4) New A10 fusion chip is extremely fast & the graphics output is incredible like a game console.
5) Battery has been increased from 1715 mAh to 1960 mAh giving you about 2 hrs more battery life than 6s. My phone last 1 entire day with heavy usage.
6) iPhone 7 now has Quad-core processor with 2GB of RAM & iPhone 7plus with 3GB of RAM.
7) Stereo speakers are really amazing with good sound quality output.

The introduction of new colours to the iPhone rage has given one more reason to buy. My personal favourite is the matte black one (though the Jet black looks more appealing than the matte black one) , but the matte black is less prone to scratches & figure prints than the Jet Black.

I pre-ordered my iPhone 7 first time on any online site but & I must say Flipkart made it a real amazing one. The delivered me my Phone the very next day of its release in India when people where standing in line outside the store to get one.
They made it special by giving the customer a cadbury & shooting the customers expressions while unboxing their iPhones.
Thank You flipkart for this gesture. You made me feel a special customer. Looking forward to buy more electronic genuine products from you.",5,Certified Buyer,2016-10-01 00:00:00,50,25,READ MORE,75,0,M,470,27,0,,0,,0,0.67
103,Iphone is the best,I bought the black 256 GB its an excellent phone... mind you it is an invenstment of 3 years at the very least for this price and worry free 3 years it will be. Phone Build quality is excellent as always.,5,Certified Buyer,2016-10-01 00:00:00,48,24,,72,0,M,41,2,0,,0,,0,0.67
104,iPhone 7!!,The black is a Good and different colour!,5,Certified Buyer,2016-10-01 00:00:00,63,34,,97,0,X,8,1,0,,0,,0,0.65
105,Bcz it shows class,Best Smartphone and outstanding picture quality and feels like royalty.,5,Certified Buyer,2018-01-01 00:00:00,14,4,,18,0,M,10,1,0,,0,,0,0.78
106,Wonderful,"One of best phone in market right now.It totally justify your investment.I am very happy that I got genuine product because some of review is not good.
 Thanks to flipkart and seller(SupercomNet) they delivered on time.",5,Certified Buyer,2017-05-01 00:00:00,64,36,,100,0,M,36,2,0,,0,,0,0.64
107,Super!,"Its a very good phone. Some people might say its over priced or it is nothing great, they are not entirely true. The iPhone 7 is a beautiful phone and the features match its reputation. Yes it is expensive but it is justified as Apple is known to make high quality phone. As I am both an iOS and android phone user I can say with experience that iPhone is way better built than any other of its competiton. I have an 4 years old iPhone 5 which works perfectly, same as the day I bought it. I am sure this will work equally well. And whereas I had to change the android phone thrice in 4 years I don't wanna name the brands.
 
 Flipkart sent the same day the phone was launched and the packing was truely amazing and also sent a dairy milk chocolate along.
 
 Hats off to flikart and WS retail.",5,Certified Buyer,2016-10-01 00:00:00,90,55,READ MORE,145,0,M,154,10,0,,0,,0,0.62
108,Terrific purchase,Excellent,5,Certified Buyer,2017-07-01 00:00:00,35,17,,52,0,M,1,1,0,,0,,0,0.67
109,Super!,have a budget under 30 and want premium and good performance fone. gamers this is really not for u . guys those use fb insta wspp snapchat n mail tiktok etc. guys this is for u only. its doesnt matter 2016 launch fone u hve to buy on 2019. trust me its best. if u looking for i phone8 dont waste ur money. either u buy 7 or XR ❤️,5,Certified Buyer,4 months ago,17,6,,23,2,M,70,7,0,,0,,1,0.74
113,Mind-blowing purchase,One of the best and trustworthy online website flipkart fast delivery too. Nice phone without any problem ....,5,Certified Buyer,2017-05-01 00:00:00,13,4,,17,0,M,18,2,0,,0,,0,0.76
