Sr.No,Review_Title,Review_Text,Review_Rating,Buyer_Type,Review_Date,Upvote,Downvote,read,Sum_of_Up_Down,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,h,Len_after,POS
26,Iphone the beast,"phone beast . Flipkart rock deliver time promise . 
  good performance 
  highly fast 
  super camera 
  good battery 
  excellent display",5,Certified Buyer,"May, 2017",25,3,,28,25,3,0,,0,,0,0.89,19,NOUN NOUN PUNCT PROPN NOUN VERB NOUN NOUN PUNCT SPACE ADJ NOUN SPACE ADV ADJ SPACE ADJ NOUN SPACE ADJ NOUN SPACE ADJ NOUN
27,Great experience great phone and priority shipping,"great experience buy shine 7 Flipkart . shipping . package arrive early 2 day despite Shipment rural area . 
 
  Phone 7 awesome . look upgrade new phone . Ought silver Color look simple , elegant , classic , premium , alive .",5,Certified Buyer,"Nov, 2016",58,12,,70,47,6,0,,0,,0,0.83,42,ADJ NOUN VERB PROPN NUM PROPN PUNCT NOUN PUNCT NOUN VERB ADV NUM NOUN SCONJ PROPN ADJ NOUN PUNCT SPACE NOUN NUM ADJ PUNCT VERB VERB ADJ NOUN PUNCT VERB NOUN PROPN VERB ADJ PUNCT ADJ PUNCT ADJ PUNCT NOUN PUNCT ADJ PUNCT
28,Awesome but don’t buy Matt black,"Gros 
  Sleek handy , chink heavy metal 
 
  Premium stylish , Watt black look royal . 
 
  Camera stunning , believe , nurture hide photographer extent buy door , pick click . Camera comparable point shoot standalone . 
 
  Battery life sufficient . 
 
  secure reliable . 
 
  Round loud whisp 6 th generation 
 
  Aluminium 7000 series sturdy 
 
  Sons 
 
  3.5 mm , adapt bridge 
 
  personal opinion screen 5 inch , reduce bell . 
 
  Price .. get deal , cheap , thank flipkart 
 
  enjoy shone . budget doesn matter u 
 
 
  21.11.2017-colour review 
 
  rise gold mattblack shine 7 , notice Watt black prone scratch fading color . rise gold rock year . 
 
  suggestion buy metallic color Watt . 
 
 
  click helpful , u like .",5,Certified Buyer,"Sep, 2017",56,13,READ MORE,69,183,11,0,,0,,0,0.81,117,PROPN SPACE ADJ ADJ PUNCT VERB ADJ NOUN SPACE NOUN ADJ PUNCT PROPN ADJ NOUN ADJ PUNCT SPACE NOUN ADJ PUNCT VERB PUNCT NOUN VERB NOUN NOUN VERB NOUN PUNCT VERB NOUN PUNCT NOUN ADJ NOUN NOUN ADJ PUNCT SPACE NOUN NOUN ADJ PUNCT SPACE VERB ADJ PUNCT SPACE ADJ ADJ VERB NUM NOUN NOUN SPACE NOUN NUM NOUN ADJ SPACE NOUN SPACE NUM NOUN PUNCT VERB NOUN SPACE ADJ NOUN NOUN NUM NOUN PUNCT VERB PROPN PUNCT SPACE NOUN PUNCT VERB NOUN PUNCT ADJ PUNCT VERB PROPN SPACE PROPN NOUN PUNCT NOUN PROPN PROPN PROPN SPACE NUM NOUN SPACE VERB NOUN PROPN VERB NUM PUNCT VERB PROPN ADJ ADJ NOUN VERB NOUN PUNCT VERB NOUN NOUN NOUN PUNCT SPACE NOUN VERB ADJ NOUN PROPN PUNCT SPACE VERB ADJ PUNCT PRON SCONJ PUNCT
29,Worth every penny,"Awesome Smartphone shone lover .. 
  get Fig Million Pale .. 
  Camera Quality Awesome 
  performance Superb 
  good display 
  beautiful looking 
  battery perform minus point trend sufficient bad .. 
  love 
  thank Flipkart ..",5,Certified Buyer,4 months ago,38,7,,45,48,3,0,1,0,,0,0.84,31,PROPN PROPN NOUN NOUN PUNCT SPACE AUX PROPN PROPN PROPN PUNCT SPACE PROPN PROPN PROPN SPACE NOUN PROPN SPACE ADJ NOUN SPACE ADJ ADJ SPACE NOUN VERB CCONJ NOUN NOUN ADJ ADJ PUNCT SPACE NOUN SPACE VERB PROPN PUNCT
30,Great experience,"phone yesterday upgrade shone c happy choice . shone 7 need introduction review , let talk Flipkart experience 
 
  delivery get deliver 2 day delivery executive take time frame mind make delivery . exchange old phone , wait patiently open phone check leave . phone package genuine document present inside box great experience thank Flipkart little apprehensive buy phone online , experience feel lot confident highly recommend",5,Certified Buyer,"Mar, 2017",1328,487,READ MORE,1815,130,8,0,,0,,0,0.73,66,NOUN NOUN PROPN VERB PROPN ADJ NOUN PUNCT NOUN NUM VERB NOUN NOUN PUNCT VERB VERB PROPN NOUN SPACE NOUN VERB VERB NUM NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB NOUN PUNCT VERB ADJ NOUN PUNCT VERB ADV ADJ NOUN NOUN NOUN PUNCT NOUN NOUN ADJ NOUN ADJ ADP NOUN ADJ NOUN VERB PROPN ADJ ADJ VERB NOUN NOUN PUNCT NOUN VERB NOUN ADJ ADV NOUN
31,It was best decision to buy it from Flipkart !,"flipkart delivery amazing 
  Apple genuine product .",4,Certified Buyer,"Dec, 2017",64,15,,79,8,2,0,,0,,0,0.81,7,PROPN NOUN ADJ SPACE PROPN ADJ NOUN PUNCT
32,Perfect product!,"good device Ve 
  Love device like ...",5,Certified Buyer,9 months ago,10,0,,10,20,2,0,,0,,0,1,7,ADJ NOUN PROPN SPACE VERB NOUN SCONJ PUNCT
33,Wonderful,West phone,4,Certified Buyer,5 months ago,59,14,,73,2,1,0,,0,,0,0.81,2,PROPN NOUN
34,Worth every penny,phone work nice .. flipkart deliver day,5,Certified Buyer,"Jan, 2017",64,16,,80,10,1,0,,0,,0,0.8,7,NOUN NOUN ADJ PUNCT PROPN PROPN PROPN
35,Just wow!,"Vice shone , like phone son mac book ....",5,Certified Buyer,"Nov, 2018",43,9,,52,10,1,0,,0,,0,0.83,9,PROPN NOUN PUNCT SCONJ NOUN NOUN PROPN PROPN PUNCT
36,iPhone@nice phone,vice product perfect phone,5,Certified Buyer,"Dec, 2017",76,20,,96,4,1,0,,0,,0,0.79,4,NOUN NOUN ADJ NOUN
37,Pretty good,"excellent phone camera nice sterno speaker fantastic give cinematic experience cool retain display . 
  kindly value money .",4,Certified Buyer,"Nov, 2018",125,38,,163,31,2,0,,0,,0,0.77,18,ADJ NOUN NOUN ADJ NOUN NOUN NOUN VERB ADJ NOUN ADJ NOUN NOUN PUNCT SPACE ADJ NOUN NOUN PUNCT
38,Great product,Vice product,5,Certified Buyer,"Nov, 2016",60,15,,75,2,1,0,,0,,0,0.8,2,PROPN NOUN
39,Awesome phone.. Worst delivery Service by Flip,awesome phone .. m love wid phone .. happy .. finally get long wait bad delivery service flipkart .. bad experience,4,Certified Buyer,"Oct, 2016",25,4,,29,27,1,0,,0,,0,0.86,21,PROPN NOUN PUNCT NUM NOUN PROPN NOUN PUNCT ADJ PUNCT ADV AUX ADJ VERB ADJ NOUN NOUN NOUN PUNCT ADJ NOUN
40,Great product,phone fantastic.after st day use processor fast camera good clarity .. 35000- valuable,5,Certified Buyer,"Nov, 2018",53,13,,66,25,1,0,,0,,0,0.8,13,NOUN PROPN PROPN PROPN VERB NOUN ADJ NOUN ADJ NOUN PUNCT NUM ADJ
41,Flipkart jindabaad,excellent issue ...... flipkart,5,Certified Buyer,"Apr, 2017",193,65,,258,5,1,0,,0,,0,0.75,4,ADJ NOUN PUNCT PROPN
42,Simply awesome,Superb,5,Certified Buyer,4 months ago,21,3,,24,1,1,0,,0,,0,0.88,1,PROPN
43,Brilliant,awesome phone love,5,Certified Buyer,10 months ago,14,1,,15,5,1,0,,0,,0,0.93,3,ADJ NOUN NOUN
44,Perfect product!,shone awesome,5,Certified Buyer,"Dec, 2018",13,1,,14,3,1,0,,0,,0,0.93,2,NOUN ADJ
45,iphone 7 gold,good product,5,Certified Buyer,"Mar, 2017",180,62,,242,4,1,0,,0,,0,0.74,2,ADJ NOUN
46,Highly recommended,100 % genuine product .. fully satisfied flipkart service .. gun ..,5,Certified Buyer,"Mar, 2017",168,58,,226,12,1,0,,0,,0,0.74,12,NUM NOUN ADJ NOUN PUNCT ADV ADJ PROPN NOUN PUNCT NOUN PUNCT
47,Brilliant,excellent product apple,5,Certified Buyer,9 months ago,27,5,,32,4,1,0,,0,,0,0.84,3,ADJ NOUN NOUN
48,Best in the market!,good product thank Flipkart,5,Certified Buyer,5 months ago,26,5,,31,5,1,0,,0,,0,0.84,4,ADJ NOUN VERB PROPN
49,Defect Product selling on the Mask of Low cost Offers,"bring Product Speaker Functionality . ask Replacement Flipkart reject physical damage . 
 
  speaker major Shone Didn consider damage 
  will not buy Flipkart . 
 
  thank .",1,Certified Buyer,"Dec, 2017",52,14,,66,51,4,1,,0,,0,0.79,25,VERB PROPN PROPN PROPN PUNCT VERB PROPN PROPN VERB ADJ NOUN PUNCT SPACE NOUN ADJ PROPN PROPN VERB NOUN SPACE VERB PART VERB PROPN PUNCT SPACE VERB PUNCT
50,Moderate,phone awesome .. case problem device u need return replace Flipkart ready deal instead r suggest service center thing ... suggest u buy online webster like Amazon u easily return .. .. hope help,2,Certified Buyer,"Oct, 2017",13,1,,14,67,1,0,,0,,0,0.93,34,NOUN PROPN PUNCT NOUN NOUN NOUN PRON VERB NOUN VERB PROPN ADJ NOUN ADV NOUN VERB NOUN NOUN NOUN PUNCT VERB PRON VERB ADJ NOUN SCONJ PROPN PROPN ADV VERB PUNCT PUNCT VERB NOUN
51,Terrific purchase,"order phone December get delivery December afternoon i.e. 2 day expect delivery . packing good product proper condition . find related accesorie mention specification . 
 
  phone 
  Met black colour awesome Apple properly visible colour . phone scratch prone better cover time . Camera usual awesome . shone handy weighted . Android user find little bit difficult use apple learn slowly . 
  overall ... phone phone",5,Certified Buyer,"Dec, 2016",763,340,READ MORE,1103,129,10,0,,0,,0,0.69,65,NOUN NOUN PROPN VERB NOUN PROPN NOUN X NUM NOUN VERB NOUN PUNCT VERB ADJ NOUN ADJ NOUN PUNCT VERB ADJ PROPN PROPN NOUN PUNCT SPACE NOUN SPACE PROPN ADJ NOUN ADJ PROPN ADV ADJ NOUN PUNCT NOUN NOUN ADJ ADJ NOUN NOUN PUNCT NOUN ADJ NOUN PUNCT NOUN ADJ VERB PUNCT PROPN NOUN VERB ADJ NOUN ADJ NOUN NOUN VERB ADV PUNCT SPACE ADV PUNCT NOUN NOUN
52,Pretty good,"good phone 7 rise gold good camera , good display , good quality , good product",4,Certified Buyer,"Nov, 2018",39,11,,50,14,1,0,,0,,0,0.78,16,ADJ NOUN NUM VERB NOUN ADJ NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN
53,Wonderful,", big thank Flipkart Apple India make great product available online amazing deal . buy Fig Million Days sale . product absolutely genuine . Flipkart delivery system well . get phone house day promise . far good product . thank Flipkart . 
 
 
  write year product , absolutely issue phone . look assurance authenticity product buy , genuine come doubt well deal office sale happen Flipkart .",5,Certified Buyer,"Oct, 2018",91,31,READ MORE,122,134,10,0,,0,,2,0.75,66,PUNCT ADJ VERB PROPN PROPN PROPN VERB ADJ NOUN ADJ ADJ ADJ NOUN PUNCT VERB PROPN PROPN PROPN NOUN PUNCT NOUN ADV ADJ PUNCT ADJ NOUN NOUN ADV PUNCT AUX PROPN PROPN NOUN NOUN PUNCT ADV ADJ NOUN PUNCT VERB PROPN PUNCT SPACE VERB NOUN NOUN PUNCT ADV VERB NOUN PUNCT VERB NOUN NOUN NOUN VERB PUNCT ADJ VERB NOUN ADV VERB NOUN NOUN VERB PROPN PUNCT
54,Simply awesome,good Camera .,5,Certified Buyer,4 months ago,42,12,,54,5,1,0,,0,,0,0.78,3,ADJ PROPN PUNCT
55,Device issue,face issue device unable initiate return replace,1,Certified Buyer,"May, 2017",29,7,,36,16,1,0,,0,,0,0.81,7,NOUN NOUN NOUN ADJ NOUN NOUN NOUN
56,Good quality product,"shone 7 good choice people want use shone budget . 
  shone 7 good product apple . 
  4.7 inch display big expect . Touch different andro well andro . 
  big display perfect . 
  have slim body , speaker loud battery 1960 day heavy usage . 
  talk performance , shone 7 line . 
  A10 fusion chip well andro 8 chip . talk Camera , dear camera 12mp give amazing picture Camera 7MP give average photo detail moderate consider bad . 
  good good light bad low light . sure self bright day 
  IOS version 10 nice user interface update timely update . 
  like name like Tube , Fortnite , Duty phone 1960mah battery . 
  hope like review",4,Certified Buyer,2 months ago,12,1,READ MORE,13,205,13,0,,0,,0,0.92,114,NOUN NUM ADJ NOUN NOUN VERB NOUN NOUN NOUN PUNCT SPACE NOUN NUM ADJ NOUN NOUN PUNCT SPACE NUM NOUN NOUN ADJ NOUN PUNCT VERB ADJ NOUN ADV PROPN PUNCT SPACE ADJ NOUN ADJ PUNCT SPACE AUX ADJ NOUN PUNCT PROPN PROPN NOUN NUM NOUN ADJ NOUN PUNCT SPACE NOUN NOUN PUNCT VERB NUM NOUN PUNCT SPACE NOUN NOUN NOUN ADV VERB NUM NOUN PUNCT PROPN PROPN PUNCT ADJ NOUN NOUN VERB ADJ NOUN PROPN PROPN VERB ADJ NOUN NOUN ADJ NOUN ADJ PUNCT SPACE ADJ ADJ NOUN ADJ ADJ NOUN PUNCT ADJ NOUN ADJ NOUN SPACE PROPN NOUN NUM ADJ NOUN NOUN NOUN ADJ NOUN PUNCT SPACE SCONJ NOUN SCONJ PROPN PUNCT PROPN PUNCT PROPN NOUN NUM NOUN PUNCT SPACE NOUN SCONJ NOUN
57,Worth every penny,phone 7 good,5,Certified Buyer,3 months ago,11,1,,12,6,1,0,,0,,0,0.92,3,NOUN NUM NOUN
58,Super!,simply outstanding   compare,5,Certified Buyer,"Jan, 2018",12,1,,13,5,1,0,,0,,0,0.92,3,ADV ADJ SPACE NOUN
60,Fabulous!,good work,5,Certified Buyer,4 months ago,17,3,,20,2,1,0,,0,,0,0.85,2,ADJ NOUN
61,Fabulous!,wood,5,Certified Buyer,"Feb, 2019",36,10,,46,2,1,0,,0,,0,0.78,1,NOUN
62,Must go for it,amazing product red beauty,5,Certified Buyer,"Jul, 2017",60,21,,81,4,1,0,,0,,0,0.74,4,ADJ NOUN ADJ NOUN
63,Pretty good,good,4,Certified Buyer,"Oct, 2016",288,138,,426,1,1,0,,0,,0,0.68,1,ADJ
64,Worst Service experience till date.,"order phone 7 get september . work 3 day stop work unexpectedly . turn . Apple support ask return return option available site . want replace want refund . 
 
 
  Apple ask refund Flipkart Flipkart give return option single day replacement 
 
  buy Flipkart suggest gun .",1,Certified Buyer,"Oct, 2017",102,43,,145,91,6,0,,0,,0,0.7,45,NOUN NOUN NUM AUX PROPN PUNCT NOUN NUM NOUN VERB NOUN ADV PUNCT VERB PUNCT NOUN NOUN VERB NOUN NOUN NOUN ADJ NOUN PUNCT VERB NOUN VERB NOUN PUNCT SPACE PROPN VERB NOUN PROPN PROPN VERB NOUN NOUN ADJ NOUN NOUN SPACE VERB PROPN VERB NOUN PUNCT
65,Nice,good image quality battery proper work,3,Certified Buyer,2 months ago,11,1,,12,9,1,0,,0,,0,0.92,6,ADJ PROPN NOUN NOUN ADJ NOUN
66,Wonderful,wonderful product,5,Certified Buyer,"Sep, 2017",11,1,,12,2,1,0,,0,,0,0.92,2,ADJ NOUN
67,Not recommended at all,Fraud flipkhart product quality bad,1,Certified Buyer,"Sep, 2017",20,6,,26,5,1,0,,0,,0,0.77,5,PROPN ADJ NOUN NOUN ADJ
68,Classy product,"legendary phone .. 
  comparison phone 
  get 24999 big billion day .. 
  fill happy ..",5,Certified Buyer,4 months ago,13,2,,15,25,1,0,,0,,0,0.87,14,ADJ NOUN PUNCT SPACE NOUN NOUN SPACE AUX NUM ADJ NUM NOUN PUNCT SPACE VERB ADJ PUNCT
69,Plz don't buy,bad product .. flipkart sell refurbish apple product .. not buy apple product flipkart,1,Certified Buyer,"Sep, 2017",46,16,,62,15,1,0,,0,,0,0.74,14,ADJ NOUN PUNCT PROPN VERB ADJ PROPN NOUN PUNCT PART VERB NOUN NOUN NOUN
70,Makes a Compelling Upgrade from the iPhone 6,"write review upbraid shone 6 . 
 
  increase speed camera great Touch feel little incomplete convenient nonetheless . design 6 , black make stand . stunning finish matter black . 
 
  update review usage .",5,Certified Buyer,"Oct, 2016",1935,1116,,3051,54,6,0,,0,,0,0.63,33,VERB PROPN PROPN NOUN NUM PUNCT SPACE NOUN NOUN NOUN ADJ PROPN VERB ADJ ADJ ADJ ADV PUNCT NOUN NUM PUNCT ADJ NOUN NOUN PUNCT ADJ PROPN NOUN ADJ PUNCT SPACE NOUN PROPN NOUN PUNCT
71,Perfect product!,"important NOTICE 
  buy apple device online specifically phone 99 % original phone .. find good deal ensure number 
  secondly , probably get duplicate accessory increase increase discount .. verify 
 
  rest phone superb especially shift time Android Windows 
  Fingerprint Display attract",5,Certified Buyer,"Oct, 2018",100,44,,144,73,1,0,,0,,0,0.69,40,ADJ PROPN SPACE VERB NOUN NOUN ADV ADV NOUN NUM NOUN ADJ NOUN PUNCT VERB ADJ NOUN NOUN NOUN SPACE ADV PUNCT ADV AUX ADJ NOUN NOUN NOUN NOUN PUNCT VERB SPACE NOUN NOUN NOUN ADV NOUN NOUN PROPN PROPN SPACE PROPN PROPN NOUN
72,Flipkart Rocks!!!!!!!!!!!!!!!,"buy awaited phone year flipkart amazing . 
  thankful flipkart understand customer harness . 
  Flipkart deliver product 71016 7.10 pm apple conduct india launch . 
  kind commitment flipkart customer highly appreciable . 
  Flipkart word genuine product . 
 
  Phone 7 look awesome phone grm camera . altogether new home button fast previous phone . 
  build quality premium black colour add . 
  sound quality good . battery satisfactory . 
  highly recommend . 
  FLIPKART .",5,Certified Buyer,"Oct, 2016",1132,647,READ MORE,1779,111,12,0,,0,,0,0.64,71,VERB VERB NOUN NOUN PROPN ADJ PUNCT SPACE ADJ NOUN VERB NOUN NOUN PUNCT SPACE PROPN VERB NOUN NUM NUM NOUN NOUN VERB PROPN PROPN PUNCT SPACE ADJ NOUN NOUN NOUN ADV ADJ PUNCT SPACE ADJ NOUN ADJ NOUN PUNCT SPACE NOUN NUM VERB ADJ NOUN PROPN PROPN PUNCT ADV ADJ NOUN NOUN ADJ ADJ NOUN PUNCT SPACE VERB NOUN ADJ ADJ NOUN VERB PUNCT SPACE ADJ NOUN ADJ PUNCT NOUN PROPN PUNCT SPACE ADV VERB PUNCT SPACE PROPN PUNCT
73,Faulty phone,month pass start display go dead .. expect flipkart offer low quality phone ..,1,Certified Buyer,"Jun, 2017",60,24,,84,28,1,0,,0,,0,0.71,14,NOUN PROPN NOUN NOUN VERB ADJ PUNCT VERB PROPN VERB ADJ NOUN NOUN PUNCT
77,Classy product,delivery expect time . product 100 % genius . fourth phone flipkart .,5,Certified Buyer,"Dec, 2018",35,12,,47,16,3,0,,0,,0,0.74,13,NOUN VERB NOUN PUNCT NOUN NUM NOUN NOUN PUNCT ADJ NOUN NOUN PUNCT
